,clustering_coef,degree_centrality,closeness_centrality,betweenness_centrality
681205,0,0.00031347962382445143,0.00031347962382445143,0.0
387047,0,0.00031347962382445143,0.00031347962382445143,0.0
387049,0,0.00031347962382445143,0.00031347962382445143,0.0
389515,0,0.00031347962382445143,0.00031347962382445143,0.0
389513,0,0.00031347962382445143,0.00031347962382445143,0.0
681248,0,0.00031347962382445143,0.00031347962382445143,0.0
681249,0,0.00031347962382445143,0.00031347962382445143,0.0
686690,0,0.00031347962382445143,0.00031347962382445143,0.0
690568,0,0.00031347962382445143,0.00031347962382445143,0.0
387426,0,0.00031347962382445143,0.00031347962382445143,0.0
387427,0,0.00031347962382445143,0.00031347962382445143,0.0
158990,0,0.00031347962382445143,0.00031347962382445143,0.0
158991,0,0.00031347962382445143,0.00031347962382445143,0.0
660958,0,0.00031347962382445143,0.00031347962382445143,0.0
660962,0,0.00031347962382445143,0.00031347962382445143,0.0
159125,0,0.00031347962382445143,0.00031347962382445143,0.0
159127,0,0.00031347962382445143,0.00031347962382445143,0.0
158748,0,0.00031347962382445143,0.00031347962382445143,0.0
158750,0,0.00031347962382445143,0.00031347962382445143,0.0
158735,0,0.00031347962382445143,0.00031347962382445143,0.0
158736,0,0.00031347962382445143,0.00031347962382445143,0.0
431853,0,0.00031347962382445143,0.00031347962382445143,0.0
431851,0,0.00031347962382445143,0.00031347962382445143,0.0
424880,0,0.00031347962382445143,0.00031347962382445143,0.0
424882,0,0.00031347962382445143,0.00031347962382445143,0.0
428370,0,0.00031347962382445143,0.00031347962382445143,0.0
428371,0,0.00031347962382445143,0.00031347962382445143,0.0
155687,0,0.00031347962382445143,0.00031347962382445143,0.0
155688,0,0.00031347962382445143,0.00031347962382445143,0.0
155654,0,0.00031347962382445143,0.00031347962382445143,0.0
155655,0,0.00031347962382445143,0.00031347962382445143,0.0
155717,0,0.00031347962382445143,0.00031347962382445143,0.0
155718,0,0.00031347962382445143,0.00031347962382445143,0.0
155380,0,0.00031347962382445143,0.00031347962382445143,0.0
660862,0,0.00031347962382445143,0.00031347962382445143,0.0
427430,0,0.00031347962382445143,0.00031347962382445143,0.0
686714,0,0.00031347962382445143,0.00031347962382445143,0.0
426287,0,0.00031347962382445143,0.00031347962382445143,0.0
426289,0,0.00031347962382445143,0.00031347962382445143,0.0
160434,0,0.00031347962382445143,0.00031347962382445143,0.0
160825,0,0.00031347962382445143,0.00031347962382445143,0.0
661226,0,0.00031347962382445143,0.00031347962382445143,0.0
661227,0,0.00031347962382445143,0.00031347962382445143,0.0
158814,0,0.00031347962382445143,0.00031347962382445143,0.0
158817,0,0.00031347962382445143,0.00031347962382445143,0.0
158815,0,0.00031347962382445143,0.00031347962382445143,0.0
158816,0,0.00031347962382445143,0.00031347962382445143,0.0
159726,0,0.00031347962382445143,0.00031347962382445143,0.0
159727,0,0.00031347962382445143,0.00031347962382445143,0.0
160090,0,0.00031347962382445143,0.00031347962382445143,0.0
160092,0,0.00031347962382445143,0.00031347962382445143,0.0
160883,0,0.00031347962382445143,0.00031347962382445143,0.0
160882,0,0.00031347962382445143,0.00031347962382445143,0.0
156559,0,0.00031347962382445143,0.00031347962382445143,0.0
156565,0,0.00031347962382445143,0.00031347962382445143,0.0
